,channel_subscribers,video_id,video_title,video_duration,video_artiste,video_tags,video_likes,video_dislikes,no_of_comments,video_views
333,76.7k,56497055,naija_new_amateur_porn_stars_discovered_in_port_harcourt_-_nollyporn,13 min,Nolly Porn,"porn,black,hardcore,pornstar,milf,bbw,amateurs,african,big-cock,big-dick,bbc,africa,nigeria,nigerian,black-cock,naija,nollywood,nolly,krissyjoh,nollyporn", 121, 84,6,"67,037"
334,76.7k,41466101,naija_group_sex_-_nollyporn,11 min,Nolly Porn,"teens,group-sex,africa,nigeria,ghana,naija,tanzania,nollywood,nollyporn,nolly-porn", 465, 353,9,"553,084"
335,76.7k,52399221,african_togo_babe_rides_on_my_huge_cock_-_nollyporn,7 min,Nolly Porn,"porn,sex,teen,pussy,black,hardcore,fuck,ebony,african,big-cock,big-dick,small-tits,africa,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn", 374, 297,1,"338,386"
336,76.7k,39804419,african_bride_banged_by_nigerian_pornstar_full_video_-_nollyporn,21 min,Nolly Porn,"sex,pussy,milf,amateur,ebony,big-ass,kano,big-dick,africa,lagos,ghana,naija,south-africa,nollywood,port-harcourt,nollyporn", 668, 561,5,"707,907"
337,76.7k,43374589,my_neighbour_s_teen_daughter_rides_on_my_cock_-_nollyporn,12 min,Nolly Porn,"sex,black,hardcore,pornstar,amateur,homemade,fuck,small,smalltits,ebony,african,big-cock,big-dick,africa,nigeria,amina,nigerian,naija,nollywood,nollyporn", 429, 290,0,"447,477"
338,76.7k,47043417,big_brother_naija_bbn_bbnaija_-_nollyporn,15 min,Nolly Porn,"black,hot,handjob,hairy,solo,horny,african,big-dick,romance,africa,nigeria,nigerian,naija,nollywood,bbn,big-brother-naija,nollyporn,bbnaija,big-brother-naija-sex-scene,bbnaija-porn", 295, 269,9,"442,644"
339,76.7k,47063201,african_sexy_ebony_seduction_-_nollyporn,10 min,Nolly Porn,"porn,sex,pussy,black,hardcore,sexy,babe,amateur,fuck,ebony,dick,african,africa,nigeria,nigerian,naija,nollywood,nollyporn", 1k, 685,15,"950,746"
340,76.7k,47719249,hot_sex_on_office_table_-_nollyporn,10 min,Nolly Porn,"porn,sex,pussy,black,hardcore,blowjob,fuck,ebony,office,big-ass,african,big-cock,big-dick,big-boobs,africa,nigeria,nigerian,naija,nollywood,nollyporn", 1k, 553,4,"845,900"
341,76.7k,54342445,one_corner_quickie_with_uglygalz_-_nollyporn,5 min,Nolly Porn,"porn,porno,sex,black,pornstar,doggystyle,ebony,big-ass,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn,uglygalz", 394, 244,20,"359,184"
342,76.7k,38060803,nigerian_african_wardrobe_sex_-_nollyporn,17 min,Nolly Porn,"pussy,pornstar,amateur,fuck,ebony,dick,african,big-cock,nigerian,lagos,naija,nollywood,ladygold,nollyporn,wardrobe-sex,lady-gold", 4.1k, 3.6k,26,"3,966,752"
343,76.7k,42169433,pussy_sweet_-_krissyjoh_ft._cally_and_donbest_first_ever_african_sex_music_for_18_-_nollyporn,3 min,Nolly Porn,"black,ebony,african,big-boobs,africa,nigeria,nigerian,ghana,naija,cally,nollywood,porn-music-video,pussy-sweet,sex-music,nollyporn,nolly-porn,donbest", 356, 295,0,"580,153"
344,76.7k,42886653,banging_my_daddy_s_house_help_in_the_wardrobe_-_nollyporn,10 min,Nolly Porn,"sex,pussy,black,pornstar,milf,doggystyle,amateur,ebony,mom,big-ass,african,big-cock,big-dick,africa,nigeria,nigerian,nollyporn", 201, 130,1,"231,641"
345,76.7k,50894551,fucking_bbw_african_ebony_black_juicy_creamy_pussy_big_ass_milf_-_nollyporn,5 min,Nolly Porn,"porn,sex,pussy,black,hardcore,pornstar,fuck,ebony,big-ass,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn", 1k, 476,18,"1,060,512"
346,76.7k,56519341,nigerian_amateur_couple_fucking_on_camera,10 min,Nolly Porn,"porn,black,hardcore,milf,blowjob,amateur,ebony,big-ass,big-tits,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn", 186, 113,5,"117,479"
347,76.7k,48929199,hot_sex_with_my_slim_black_niece_who_masturbated_in_her_room_-_nollyporn,16 min,Nolly Porn,"porn,sex,black,pornstar,fuck,ebony,big-tits,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nigerian-porn,krissyjoh,slim-babe,nollyporn", 467, 273,4,"400,686"
348,76.7k,50732623,horny_babe_forced_boyfriend_for_sex_-_nollyporn,6 min,Nolly Porn,"porn,porno,sex,pussy,black,hardcore,boobs,fuck,ebony,dick,african,africa,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn", 397, 259,11,"370,235"
349,76.7k,48873083,sex_in_the_porn_studio_with_black_african_pornstar_scene_2_-_nollyporn,10 min,Nolly Porn,"porno,sex,pussy,black,hardcore,pornstar,fuck,ebony,big-ass,african,big-cock,big-dick,big-boobs,africa,nigeria,nigerian,naija,office-sex,nollywood,nollyporn", 1.7k, 1k,10,"1,549,687"
350,76.7k,50732531,my_first_meet_-_nollyporn,6 min,Nolly Porn,"porn,porno,sex,pussy,black,hardcore,fuck,ebony,dick,african,africa,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn", 359, 238,11,"412,245"
351,76.7k,45198851,that_ebony_i_got_from_nollyporn.com_for_my_big_dick_-_nollyporn,14 min,Nolly Porn,"sex,pussy,black,fuck,ebony,celeb,african,big-cock,big-dick,africa,soloboy,nigeria,naija,nollywood,nollyporn", 123, 109,1,"148,144"
352,76.7k,45454205,makeup_artist_got_fucked_by_a_nollywood_film_producer_-_nollyporn,11 min,Nolly Porn,"porn,sex,pussy,black,hardcore,ebony,mom,mother,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nollyporn", 503, 339,5,"474,710"
353,76.7k,42804697,african_bathroom_hot_sex_with_sexy_nigerian_bbw_-_nollyporn,11 min,Nolly Porn,"sex,pussy,black,ebony,big-ass,bbw,big-cock,big-dick,big-boobs,bbc,africa,nigeria,nigerian,naija,nollywood,nollyporn", 1.1k, 710,6,"990,737"
354,76.7k,44733283,black_african_big_boobs_celebrity_babe_enjoys_handjob_blowjob_headjob_breast_fucking_and_cumshot_with_nigerian_pornstar_-_nollyporn,12 min,Nolly Porn,"porn,sex,pussy,black,hardcore,pornstar,blowjob,amateur,ebony,big-ass,african,big-cock,big-dick,big-boobs,africa,nigeria,nigerian,naija,nollyporn", 2.5k, 1.9k,16,"2,157,235"
355,76.7k,48894555,lady_white_screamed_for_rodrigo_s_big_dick_in_the_bathroom_-_nollyporn,11 min,Nolly Porn,"porn,porno,sex,pussy,black,hardcore,pornstar,fuck,ebony,dick,african,big-cock,big-dick,africa,nigeria,nigerian,nollywood,nollyporn", 122, 79,4,"141,203"
356,76.7k,54874891,naija_corona_hot_bang_during_lockdown_-_nollyporn,11 min,Nolly Porn,"porn,sex,pussy,black,hardcore,boobs,cock,pornstar,amateur,fuck,ebony,dick,african,africa,nigeria,nigerian,naija,nollywood,nolly,nollyporn", 1k, 659,16,"866,609"
357,76.7k,41473009,banging_my_2_months_pregnant_girlfriend_i_met_on_nollyporn.com_in_summer_-_nollyporn,15 min,Nolly Porn,"teen,teenager,black,pornstar,butt,young,big-ass,african,big-cock,big-dick,africa,nigeria,naija,nollywood,nollyporn,nolly-porn", 3.1k, 2.1k,7,"2,081,929"
358,76.7k,48811723,accra_babe_linda_loves_hardcore_sex_-_ghana_naija_-_nollyporn,10 min,Nolly Porn,"sex,pussy,black,hardcore,pornstar,ebony,kenya,african,big-cock,big-dick,nigeria,nigerian,ghana,naija,nairobi,nollywood,accra,east-africa,nollyporn,west-africa", 428, 351,4,"493,846"
359,76.7k,48931245,sarah_s_pussy_too_deep_despite_my_long_dick_-_nollyporn,10 min,Nolly Porn,"porn,sex,black,pornstar,fuck,ebony,big-tits,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nigerian-porn,krissyjoh,slim-babe,adult-movie,nollyporn", 274, 171,9,"232,912"
360,76.7k,42362947,learning_blowjob_in_the_toilet_-_nollyporn,3 min,Nolly Porn,"blowjob,nigeria,nollyporn,nolly-porn", 86, 57,3,"98,708"
361,76.7k,53705487,cibele_pacheco_stepbrother_caught_her_masturbating_while_watching_her_nigerian_pornstar_boyfriend_s_porn_and_fucked_her_-_nollyporn_proton_videos,10 min,Nolly Porn,"porn,sex,pussy,hardcore,pornstar,latin,brazilian,amateur,fuck,brazil,africa,nigeria,nigerian,naija,south-america,krissyjoh,nollyporn,nolly-porn,cibele-pacheco,proton-videos", 539, 344,10,"366,081"
362,76.7k,41006233,kenyan_teen_fucked_naija_big_dick_in_the_toilet_at_nairobi_-_nollyporn,11 min,Nolly Porn,"porn,sex,teen,black,amateur,brazil,india,japan,russia,big-dick,china,africa,indonesia,bangladesh,pakistan,nigeria,naija,nollywood,nollyporn,nolly-porn", 141, 108,0,"222,869"
363,76.7k,48903925,2_nigerian_celebrities_sex_tape_exposed_-_nollyporn,5 min,Nolly Porn,"porn,porno,sex,pussy,black,pornstar,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,naija,leaked-video,krissyjoh,nollyporn,okpo-records-porn,mfang", 132, 120,2,"213,346"
364,76.7k,47688961,monster_cock_-_nollyporn,10 min,Nolly Porn,"sex,black,hardcore,fuck,hairy,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nollyporn", 2.4k, 1.9k,24,"1,922,027"
365,76.7k,51467509,krissyjoh_vs_uglygalz_porn_video_preview_trailer_and_behind_the_scene_sex_clip_-_nollyporn,5 min,Nolly Porn,"porn,sex,hardcore,pornstar,ebony,big-ass,bbw,african,big-cock,big-dick,africa,nigeria,nigerian,naija,behind-the-scene,nollywood,nolly,krissyjoh,nollyporn,uglygalz", 2.6k, 2.1k,31,"3,032,542"
366,76.7k,52952169,hot_quickie_with_big_tits_black_african_porn_star,5 min,Nolly Porn,"porn,porno,pussy,black,hardcore,pornstar,ebony,big-ass,big-tits,african,big-cock,big-dick,big-boobs,africa,nigeria,nigerian,naija,nolly,krissyjoh,nollyporn", 2.1k, 1.4k,20,"2,283,319"
367,76.7k,45013373,that_yoruba_pornstar_funke_-_nollyporn,14 min,Nolly Porn,"porn,cumshot,sex,pussy,black,hardcore,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,naija,pornster,nollywood,verified-profile,nollyporn", 447, 292,4,"394,917"
368,76.7k,41696995,naija_tusweet_i_met_on_nollyporn.com_fucked_his_boss_girl_-_nollyporn,12 min,Nolly Porn,"sex,teen,teenager,black,amateur,small,young,ebony,african,africa,nigeria,nigerian,naija,nollywood,nollyporn,nolly-porn", 687, 457,4,"813,976"
369,76.7k,48922131,lady_white_fucked_her_stepson_rodrigo_and_screamed_for_his_big_dick_-_nollyporn,16 min,Nolly Porn,"porn,sex,black,hardcore,pornstar,fuck,ebony,big-tits,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nigerian-porn,adult-movie,nollyporn", 1.6k, 1.4k,6,"1,693,852"
370,76.7k,53751993,fucking_krissyjoh_s_latina_girlfriend_cibele_pacheco_ass_and_pussy_-_nollyporn_proton_videos,10 min,Nolly Porn,"porn,porno,anal,sex,pussy,hardcore,latina,pornstar,brazilian,amateur,fuck,dick,brazil,anal-sex,south-american,krissyjoh,nollyporn,nolly-porn,cibele-pacheco,proton-videos", 157, 87,5,"83,056"
371,76.7k,36753837,ebony_nigerian_fat_pussy_fucked_by_african_pornstar_part_2_-_nollyporn,18 min,Nolly Porn,"porn,sex,pussy,black,fuck,ebony,fat,big-dick,production,africa,producer,nigeria,lagos,naija,abuja,nollywood,calabar,nollyporn", 2.4k, 2k,21,"3,523,123"
372,76.7k,48922571,rodrigo_fucked_his_stepmother_lady_white_with_his_huge_cock_and_she_said_he_is_better_than_dad_-_nollyporn,11 min,Nolly Porn,"porn,sex,black,hardcore,pornstar,fuck,ebony,big-tits,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nigerian-porn,adult-movie,nollyporn", 813, 563,5,"615,473"
373,76.7k,48929457,shocked_to_see_her_small_pussy_swallowed_my_monster_cock_all_-_nollyporn,10 min,Nolly Porn,"porn,sex,black,pornstar,fuck,threesome,ebony,african,big-cock,big-dick,africa,bf,nigeria,nigerian,naija,nigerian-porn,krissyjoh,slim-babe,adult-movie,nollyporn", 185, 85,5,"195,540"
374,76.7k,43648713,real_african_pussy_got_pounded_on_the_floor_-_nollyporn,10 min,Nolly Porn,"africa,naija,nollyporn", 152, 87,2,"149,520"
375,76.7k,52878911,step_mom_left_the_house_while_i_fucked_my_step_sister_-_nollyporn,5 min,Nolly Porn,"porn,sex,pussy,hardcore,pornstar,milf,fuck,african,big-cock,big-dick,africa,nigeria,nigerian,step-mom,step-sister,naija,nollywood,nolly,krissyjoh,nollyporn", 479, 351,10,"501,998"
376,76.7k,38837381,ghana_pussy_loves_nigerian_dick_-_nollyporn,10 min,Nolly Porn,"sex,teen,pussy,black,fucking,tits,babe,pornstar,ebony,big-dick,africa,nigeria,ghana,nollywood,nollyporn", 1.3k, 874,15,"1,725,759"
377,76.7k,41996897,naija_hardcore_chair_banging_with_amaka_-_nollyporn,10 min,Nolly Porn,"porn,sex,pussy,black,hardcore,pornstar,milf,amateur,ebony,big-ass,big-cock,big-dick,big-boobs,africa,nigeria,naija,nollywood,nollyporn,nolly-porn", 2.6k, 1.8k,21,"3,761,540"
378,76.7k,43177713,playing_with_my_teen_house_help_s_pussy_-_nollyporn,10 min,Nolly Porn,"porn,sex,teen,pussy,hardcore,pornstar,amateur,homemade,small,smalltits,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nollyporn", 293, 175,3,"279,261"
379,76.7k,36739017,ebony_calabar_girl_fucked_by_popular_nigerian_porn_film_actor_-_nollyporn,11 min,Nolly Porn,"porn,sex,girl,fuck,ebony,film,actor,popular,nigeria,nigerian,lagos,nollywood,calabar", 891, 725,12,"1,495,973"
380,76.7k,42958969,i_dashed_her_some_money_and_fucked_her_hard_for_dancing_to_my_music_pussy_sweet_-_nollyporn,17 min,Nolly Porn,"sex,black,pornstar,milf,amateur,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollyporn", 1k, 746,1,"896,736"
381,76.7k,37356113,black_african_babe_fucked_by_popular_nigerian_pornstar_nollywood_homemade_porn_-_nollyporn,18 min,Nolly Porn,"black,butt,african,big-cock,big-boobs,big-black-ass,nollywood-porn,nigerian-fuck", 350, 266,6,"541,654"
382,76.7k,48873353,uganda_black_pussy_babe_got_fucked_hard_by_naija_porn_actor_scene_2_-_nollyporn,14 min,Nolly Porn,"porn,pussy,black,hardcore,pornstar,amateur,fuck,ebony,big-ass,african,big-cock,big-dick,africa,nigeria,nigerian,naija,uganda,nollywood,nollyporn", 166, 105,3,"157,845"
383,76.7k,41693963,shy_african_chubby_babe_from_nigeria_ride_big_dick_in_ghana_-_nollyporn,11 min,Nolly Porn,"pussy,black,milf,ebony,big-ass,big-dick,africa,nigeria,ghana,naija,nollywood,nollyporn,nolly-porn", 290, 245,4,"393,880"
384,76.7k,55435053,january_2020,5 min,Nolly Porn,"porn,porno,sex,pussy,black,hardcore,pornstar,amateur,ebony,big-ass,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nolly,krissyjoh,nollyporn", 597, 340,9,"558,640"
385,76.7k,48871121,hot_sex_in_the_porn_studio_with_black_african_pornstar_-_nollyporn,19 min,Nolly Porn,"porn,sex,black,hardcore,pornstar,milf,amateur,fuck,ebony,big-ass,african,big-cock,big-dick,big-boobs,africa,nigeria,nigerian,naija,nollywood,nollyporn", 741, 580,0,"511,962"
386,76.7k,39637041,i_fucked_my_sleeping_sister-in-law_-_nollyporn,10 min,Nolly Porn,"sex,pussy,black,hot,pornstar,fuck,ebony,kano,big-dick,africa,nigeria,lagos,naija,nollywood,nollyporn", 2.2k, 2k,5,"2,216,430"
387,76.7k,56583391,big_dick_pussy_fucking_porno,10 min,Nolly Porn,"porn,sex,pussy,black,hardcore,pornstar,fuck,ebony,dick,pussyfucking,big-cock,big-dick,nigeria,nigerian,naija,nollywood,nolly,krissyjoh,nollyporn,uglygalz", 179, 100,7,"97,916"
388,76.7k,42283309,south_african_babe_fucked_her_nigerian_pornstar_boyfriend_s_big_dick_-_nollyporn,12 min,Nolly Porn,"sex,pussy,black,hardcore,boobs,milf,amateur,fuck,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,south-africa,krissyjoh,pussy-sweet,nollyporn,nolly-porn", 1.6k, 1.3k,7,"1,547,341"
389,76.7k,48812793,uganda_black_pussy_babe_got_fucked_hard_by_naija_porn_actor_in_kampala_-_nollyporn,13 min,Nolly Porn,"black,hardcore,ebony,kenya,african,big-cock,big-dick,africa,nigeria,nigerian,kenyan,ghana,naija,nairobi,ghanaian,nollywood,accra,east-africa,nollyporn,west-africa", 1.4k, 1.1k,8,"1,706,230"
390,76.7k,38889409,fucking_my_ghana_girlfriend_in_one_corner_doggy_-_nollyporn,10 min,Nolly Porn,"pussy,black,hardcore,pornstar,doggystyle,ebony,big-dick,africa,nigeria,ghana,nollywood,nollyporn,west-africa", 106, 60,1,"161,654"
391,76.7k,39800501,ebony_deep_pussy_drilled_by_boss_-_nollyporn,10 min,Nolly Porn,"sex,pussy,black,pornstar,homemade,smalltits,ebony,kano,big-dick,africa,nigeria,lagos,ghana,naija,nollyporn", 78, 75,1,"115,700"
392,76.7k,45670869,naija_makeup_artist_funke,10 min,Nolly Porn,"porn,pussy,black,hardcore,boobs,pornstar,milf,amateur,fuck,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nollyporn", 299, 202,7,"326,656"
393,76.7k,45166989,my_girlfriend_rested_while_i_fucked_her_sister_-_nollyporn,20 min,Nolly Porn,"black,fucking,hot,slut,homemade,ebony,big-ass,missionary,big-cock,big-dick,africa,nigeria,naija,nollywood,nollyporn", 3.8k, 2.3k,18,"2,025,508"
394,76.7k,54872533,corona_sex_best_sex_position_to_prevent_corona_-_nollyporn,12 min,Nolly Porn,"porn,porno,pussy,black,cock,pornstar,doggystyle,amateur,ebony,dick,big-ass,bbw,african,big-boobs,africa,nigeria,nigerian,naija,nolly,nollyporn", 564, 399,12,"421,041"
395,76.7k,48621549,riding_hard_black_sweet_pussy_-_nollyporn,10 min,Nolly Porn,"porn,porno,sex,pussy,black,pornstar,amateur,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nollywood,nollyporn", 97, 94,1,"95,237"
396,76.7k,38948687,fucking_my_ghana_girlfriend_in_one_corner_doggy_-_nollyporn,10 min,Nolly Porn,"black,celeb,big-cock,nigeria,ghana,nollywood,nollyporn", 40, 21,0,"67,890"
397,76.7k,41111807,i_fucked_my_sleeping_step-sister_who_is_2_months_pregnant_-_nollyporn,15 min,Nolly Porn,"porn,cum,sex,teen,hardcore,pornstar,doggystyle,amateur,ebony,big-ass,big-cock,africa,nigeria,ghana,naija,tanzania,nollywood,nollyporn,nolly-porn", 275, 128,4,"253,305"
398,76.7k,44135271,ebony_i_found_off_nollyporn.com_for_spiderstyle_hardcore_sex_-_nollyporn,10 min,Nolly Porn,"black,hardcore,pornstar,ebony,african,big-cock,big-dick,africa,nigeria,nigerian,nollyporn", 639, 477,3,"602,187"
399,76.7k,41248739,african_angle_hardcore_with_kenya_porn_first_timer_-_nollyporn,10 min,Nolly Porn,"africa,nigeria,naija,nollyporn,nolly-porn", 506, 397,10,"651,813"
400,76.7k,39151260,african_nigerian_pussy_loves_my_big_cock_-_nollyporn,10 min,Nolly Porn,"pussy,black,petite,fuck,celeb,big-cock,africa,nigeria,ghana,nollywood,nollyporn", 321, 207,2,"367,009"
401,76.7k,39231602,i_fucked_my_nigerian_ex_girlfriend_on_her_wedding_day._nollywood_sex_movie_-_nollyporn,10 min,Nolly Porn,"sex,pussy,black,pornstar,bride,wedding,new,big-dick,africa,nigeria,nollywood,2018,nollyporn", 566, 505,6,"733,465"
402,76.7k,38431001,nigerian_lecturer_fucked_university_of_lagos_student_for_high_score_part_2_-_nollyporn,12 min,Nolly Porn,"pussy,black,pornstar,blowjob,fuck,ebony,african,big-dick,africa,nigeria,nigerian,lagos,naija,abuja,nollywood,ladygold,west-africa,lady-gold", 1.5k, 1.2k,26,"2,029,777"
403,76.7k,39575381,bride_fucked_by_ex_boyfriend_on_her_wedding_day_-_nollyporn,13 min,Nolly Porn,"sex,pussy,black,pornstar,fuck,ebony,dick,big-ass,bride,wedding,18,adult,african,big-cock,nigerian,ghana,naija,south-africa,nollywood,nollyporn", 1.2k, 1k,3,"1,438,542"
404,76.7k,38829365,fucking_my_ghana_girlfriend_in_one_corner_doggy_-_nollyporn,10 min,Nolly Porn,"pussy,black,doggystyle,ebony,big-cock,africa,nigeria,ghana,naija,nollywood,nollyporn", 139, 101,0,"207,155"
405,76.7k,55431631,bbw_nonstop_banging_-_nollyporn,5 min,Nolly Porn,"porn,porno,sex,pussy,black,hardcore,pornstar,amateur,ebony,big-ass,african,big-cock,big-dick,africa,nigeria,nigerian,naija,nolly,krissyjoh,nollyporn", 47, 24,0,"60,911"
406,27.2k,47466597,caught_my_innocent_stepmum_masturbating_with_cucumber,10 min,Epic Naija Sex,"cumshot,black,creampie,blowjob,rough,real,amateur,wife,wet,closeup,ebony,big-ass,horny,reality,big-tits,big-cock,big-boobs,africa,nigeria,nollywood", 3.4k, 2.6k,32,"2,743,749"
407,27.2k,56395237,epic_compilation_1_-_amazing_videos_you_might_have_missed,11 min,Epic Naija Sex,"cumshot,cum,black,big,boobs,interracial,ass,petite,blowjob,doggystyle,amateur,closeup,threesome,ebony,teens,big-ass,big-tits,big-cock,big-dick,natural-tits", 408, 356,14,"293,050"
408,27.2k,47527905,horny_secondary_school_girl_seduces_and_fucks_innocent_doctor,19 min,Epic Naija Sex,"cumshot,teen,black,hardcore,big,sucking,creampie,petite,blowjob,rough,slut,real,wet,squirt,ebony,teens,college,reality,big-cock,small-tits", 3.6k, 2.9k,25,"2,773,183"
409,27.2k,55882899,porn_audition_with_two_horny_nigerian_girls_i_made_sure_they_squirt,11 min,Epic Naija Sex,"cum,lesbian,teen,black,hardcore,big,blowjob,rough,doggystyle,real,amateur,threesome,ebony,big-ass,reality,big-tits,big-cock,big-dick,big-boobs,black-cock", 1.5k, 1.2k,27,"1,345,985"
410,27.2k,56229035,taboo_sex_with_my_slutty_little_cousin_trailer_,79 sec,Epic Naija Sex,"cum,teen,black,fucking,big,boobs,blowjob,rough,doggystyle,real,amateur,homemade,ebony,cowgirl,oral,orgasm,big-cock,big-dick,black-cock,anal-sex", 1.4k, 660,27,"1,470,890"
411,27.2k,48632387,fucking_my_bestfriend_s_wife_-_new_movie_trailer,10 min,Epic Naija Sex,"teen,black,hardcore,rough,real,amateur,homemade,wife,wet,ebony,teens,horny,reality,big-tits,big-cock,africa,nigeria,black-cock,natural-tits,nollywood", 3.8k, 3.8k,33,"4,308,789"
412,27.2k,56395873,latest_movies_release_from_epic_afri_-_compilation,10 min,Epic Naija Sex,"anal,black,sucking,outdoor,ass,blowjob,rough,wet,threesome,squirt,ebony,oral,big-ass,orgasm,orgy,big-tits,big-cock,group-sex,anal-sex", 216, 153,1,"117,862"
413,27.2k,56227455,outdoor_threesome_with_horny_secondary_school_girl_behind_school_hostel_trailer_,62 sec,Epic Naija Sex,"cumshot,cum,black,hardcore,big,hot,outdoor,doggystyle,amateur,ebony,cowgirl,oral,horny,college,orgasm,big-cock,big-dick,black-cock,anal-sex,natural-tits", 2.9k, 1.8k,23,"3,582,943"
414,27.2k,47895703,caught_my_lesbain_wife_fucking_her_squirting_step_sister_-_trailer,10 min,Epic Naija Sex,"cumshot,lesbian,black,hardcore,sucking,blowjob,rough,slut,real,amateur,wet,ebony,big-ass,reality,big-cock,group-sex,africa,nigeria,black-cock,nollywood", 5.1k, 4.8k,27,"4,908,413"
415,27.2k,55765713,sneaky_fuck_with_horny_little_cousin_in_the_kitchen_trailer_,3 min,Epic Naija Sex,"cumshot,cum,teen,hardcore,hot,creampie,petite,handjob,rough,doggystyle,real,amateur,homemade,ebony,horny,reality,big-cock,big-dick,black-cock,anal-sex", 2.4k, 2.1k,46,"2,071,531"
416,27.2k,48563479,sex_with_an_african_goddess_-_new_movie_trailer,10 min,Epic Naija Sex,"teen,licking,black,hardcore,blowjob,rough,slut,real,wet,young,threesome,squirt,ebony,family,reality,big-dick,africa,nigeria,natural-tits,nollywood", 4.6k, 4.8k,12,"4,684,046"
417,27.2k,56394705,amazing_videos_from_epic_afri_-_compilation,11 min,Epic Naija Sex,"anal,cumshot,cum,black,big,boobs,ass,creampie,blowjob,doggystyle,fingering,wife,wet,ebony,big-ass,big-tits,big-cock,big-dick,big-boobs,black-cock", 117, 56,3,"77,496"
418,27.2k,49628707,housewife_seduces_husband_s_younger_brother_with_creamy_pussy_movie_trailer_,2 min,Epic Naija Sex,"cumshot,teen,licking,hardcore,creampie,blowjob,doggystyle,real,amateur,homemade,closeup,ebony,big-ass,horny,big-tits,big-cock,big-boobs,nigeria,black-cock,nolly", 1.8k, 1.4k,8,"2,027,271"
419,27.2k,55791843,cheating_wife_invites_lesbian_bestfriend_over_immediately_husband_leaves_for_work_trailer_,3 min,Epic Naija Sex,"cum,lesbian,licking,boobs,sucking,ass,milf,rough,real,amateur,fingering,ebony,lingerie,big-ass,horny,gay,reality,big-tits,big-boobs,natural-tits", 992, 681,20,"872,168"
420,27.2k,56370055,beautiful_goddess_and_the_bravest_man_in_the_land_trailer_,93 sec,Epic Naija Sex,"cumshot,cum,teen,black,big,hot,cock,outdoor,ass,blowjob,rough,doggystyle,wet,ebony,oral,orgasm,reality,big-cock,big-dick,black-cock", 545, 294,10,"499,726"
421,27.2k,50600225,big_ass_ebony_gang_bang_-she_enjoyed_the_double_penetration_trailer_,10 min,Epic Naija Sex,"cumshot,black,hardcore,blowjob,handjob,rough,doggystyle,threesome,squirt,ebony,big-ass,horny,bang,big-tits,big-dick,big-boobs,africa,nigeria,anal-sex,nolly", 814, 631,7,"699,664"
422,27.2k,56369833,my_huband_cheated_on_me_so_i_got_even_with_bar_attendant_trailer_,62 sec,Epic Naija Sex,"cumshot,teen,black,hardcore,big,ass,creampie,blowjob,rough,wife,wet,closeup,oral,big-ass,orgasm,reality,big-tits,big-cock,big-boobs,black-cock", 107, 78,1,"147,822"
423,27.2k,56245541,she_served_me_pussy_for_breakfast,64 sec,Epic Naija Sex,"cumshot,cum,teen,black,hardcore,big,hot,ass,creampie,blowjob,doggystyle,amateur,closeup,ebony,horny,orgasm,big-cock,big-dick,black-cock,anal-sex", 445, 264,5,"537,200"
424,27.2k,50103563,horny_cousin_visits_from_school_and_wakes_me_up_with_wet_pussy_new_movie_trailer_,11 min,Epic Naija Sex,"cumshot,teen,hardcore,petite,blowjob,handjob,rough,doggystyle,real,fingering,ebony,horny,reality,big-dick,small-tits,africa,nigeria,black-cock,kingtblak,epicnaijasex", 1.2k, 707,10,"929,108"
425,27.2k,56389633,anal_outdoor_caught_her_working_in_farm_i_have_to_cum_in_her_ass_trailer_,63 sec,Epic Naija Sex,"cumshot,cum,black,hardcore,big,boobs,outdoor,ass,blowjob,rough,doggystyle,ebony,teens,horny,orgasm,reality,big-cock,big-dick,anal-sex,natural-tits", 697, 385,5,"545,940"
426,27.2k,56386649,horny_girlfriend_fucks_my_younger_brother_trailer_,2 min,Epic Naija Sex,"cumshot,cum,black,hardcore,big,hot,outdoor,ass,blowjob,amateur,homemade,wet,ebony,oral,horny,orgasm,orgy,big-cock,big-dick,black-cock", 111, 70,1,"84,354"
